Headline,Link,Model_Category,Sentiment,Model_Summary,Time (s),Classified
"Katti, 42: ”Jag blevhånad och utskrattad”",https://www.aftonbladet.se/minekonomi/a/25EkQy/katti-42-ville-ga-ner-i-vikt-blev-palurad-pillerprenumeration,Business,Negative,[2025-10-13] A customer attempted to lose weight but was unexpectedly signed up for a subscription. This highlights potential issues with sales tactics and consumer consent.,3.41,True
Bubbelvarnar: Kan vända tvärt,https://www.aftonbladet.se/minekonomi/a/93yezr/oro-vaxer-for-ai-bubbla-kan-vanda-tvart,Business,Positive,[2025-10-13] The article discusses gold surpassing Wall Street records and the growth of AI-related business opportunities. It highlights a positive trend in both precious metals and the tech sector.,1.24,True
Inflationen sjunker – så lär styrräntan påverkas,https://www.aftonbladet.se/minekonomi/a/93ybqd/inflationen-sjunker,Politics,Neutral,"[2025-10-13] The article, titled ""The bar is high,"" likely discusses a political challenge or standard. Its content is currently unspecified but suggests a significant hurdle to overcome.",1.28,True
Tog studenten – sedan rasade allt: ”Få som vet”,https://www.aftonbladet.se/minekonomi/a/lwqB9L/linus-25-skuldsatte-sig-direkt-efter-studenten,Culture,Neutral,[2025-10-13] The article appears to be about a young person named Linus. The subject matter likely relates to youth or a cultural trend involving young people.,1.19,True
Raseriet efter bankens drag: ”Det är grisigt”,https://www.aftonbladet.se/minekonomi/a/KMd5bG/christoffer-far-sankt-ranta-av-lansforsakringar-nasta-ar,Business,Neutral,"[2025-10-13] A 35-year-old man, Christoffer, is receiving a reduced interest rate. This news pertains to personal finance and lending practices.",1.22,True
Så tjänar banker på din bekostnad,https://www.aftonbladet.se/minekonomi/a/dR6K2B/svart-pa-vitt-sa-mjolkar-bankerna-dig,Business,Negative,"[2025-10-13] The article, titled ""ANDREAS CERVENKAHåller inte i längden,"" suggests a business relationship or situation involving Andreas Cervenka is unsustainable. It implies a lack of longevity or potential failure.",1.42,True
Aktien rasar – efter Eks avhopp,https://www.aftonbladet.se/minekonomi/a/8qe0BA/daniel-ek-lamnar-vd-posten-pa-spotify,Business,Negative,"[2025-10-13] A billionaire's financial standing appears to be deteriorating, raising concerns. The article mentions criticism related to weapons, suggesting a potential link to the situation.",1.16,True
Efter räntebeskedet: Så LITE har din bank sänkt,https://www.aftonbladet.se/minekonomi/a/OowKXq/sa-agerar-bankerna-en-vecka-efter-rantebeskedet,Business,Neutral,"[2025-10-13] This article, dated October 13, 2025, concerns a list related to the Governor of the Swedish Central Bank (Riksbank). The content of the list is not specified in the provided title.",1.43,True
Akut elbrist hotar i vinter – finns ingen reservkraft,https://www.aftonbladet.se/minekonomi/a/zAdObw/ingen-elreserv-i-vinter-stromavbrott-hotar,Business,Neutral,[2025-10-13] Swedish power grid operator Svenska kraftnät has halted a procurement process. The reason for the interruption is not specified in the provided text.,1.16,True
Går i konkurs – ställer in flyg,https://www.aftonbladet.se/minekonomi/a/QMQbjA/gar-i-konkurs-staller-in-flyg,Business,Negative,"[2025-10-13] Ving and Apollocheck200 are impacting employees, with 200 jobs affected. This indicates potential layoffs or restructuring within the companies.",1.16,True
”Ska minska riskerna för kärnkraftsinvesterare”,https://www.aftonbladet.se/minekonomi/a/KMd0z5/karnkraftsagare-ska-fa-ersattning-vid-nedlaggning,Business,Neutral,[2025-10-13] Owners will receive compensation when a business is shut down. This indicates a policy change or regulation related to business closures.,1.03,True
Economic Overview,,Overview,,"The current economic situation appears mixed, with signs of both growth and instability. While the tech sector and precious metals are showing positive trends, concerns are rising about the financial standing of a billionaire and the potential failure of a business relationship, suggesting underlying fragility. Layoffs at Ving and Apollocheck200, alongside a halted procurement process for the Swedish power grid, point toward potential restructuring and challenges within specific sectors. Overall, the near future looks uncertain, with potential for both improvement driven by tech and metals, but also risks related to broader economic headwinds and business failures.",0.0,True
JUST NU:Efter hot – Hatt avgår som partiledare,https://www.aftonbladet.se/minekonomi//nyheter/a/bmyP5q/anna-karin-hatt-avgar-som-partiledare-efter-hat-och-hot,Technology,Neutral,"[2025-10-15] The article discusses the impact of online trolls, suggesting a broader issue beyond simply online behavior. It implies a need for consideration of the underlying causes and potential solutions related to online harassment.",0.65,True
Budskapen på Gretas väska: Penis och ”hora”,https://www.aftonbladet.se/minekonomi//nyheter/a/0VM0qo/greta-thunberg-berattar-om-skrackdygnen-i-israeliskt-fangelse,International News,Neutral,"[2025-10-15] The article reports on a period of frightening events, suggesting a serious situation. However, it also notes a toning down of the narrative, implying a potential shift in the reporting.",0.64,True
10 frågor till Greta: ”Det är rena lögner”,https://www.aftonbladet.se/minekonomi//nyheter/a/W0QXvd/10-kritiska-fragor-till-greta-thunberg,Politics,Neutral,[2025-10-15] The article reports on accusations made against Israel. It provides a factual account of the situation without expressing a particular opinion or judgment.,0.57,True
Ministern: ”Har själva utsatt sig för risk”,https://www.aftonbladet.se/minekonomi//nyheter/a/RzJ8nx/kritiseras-om-tystnad-kring-tortyr-av-greta,Politics,Negative,"[2025-10-15] The article reports criticism regarding a culture of silence. It suggests concerns about a lack of open discussion or transparency, likely within a political or institutional context.",0.62,True
Försvarsmakten följer rysk ubåt i Östersjön,https://www.aftonbladet.se/minekonomi//nyheter/a/bmyxxv/forsvarsmakten-foljer-rysk-ubat-i-ostersjon,Politics,Neutral,"[2025-10-15] The article, ""Händer något där så vet vi,"" translates to ""If something happens there, we know."" It is a Swedish phrase with no immediate context, suggesting a statement about awareness or observation, likely within a political or governmental setting.",0.75,True
TV4 anmäls för djurplågeri: ”Fel”,https://www.aftonbladet.se/minekonomi//nojesbladet/a/W0QKA2/sverigesmasterkock-anmals-for-djurplageri-tv4-s-svar,Technology,Neutral,"[2025-10-15] This article, translated, discusses a professor's statement regarding a TV4 response, likely concerning a technological issue or development. The content doesn't inherently express a positive or negative sentiment.",0.66,True
Livsmedelsjätte säger upp 16 000,https://www.aftonbladet.se/minekonomi/a/mPXmy0/nestle-sager-upp-16000,STOPPED,STOPPED,[2025-10-16] Classification stopped,0.0,True
Jobba deltid efter 60 – så hjälper nya premien,https://www.aftonbladet.se/minekonomi/pension/a/eMbEwg/deltid-eller-mer-pengar-premien-helt-avgorande,Business,Negative,[2025-10-17] The article discusses a group experiencing misfortune or being left out (nitlotten). It likely refers to a business or organization facing setbacks.,0.0,True
Kina ändrar från 7 till 12 –så drabbas du: ”Läskigt”,https://www.aftonbladet.se/minekonomi/a/Ey3meG/varnar-efter-jattens-drag-hotar-hela-varldsekonomin,Business,Negative,[2025-10-17] The article reports on a warning about potential threats to the global economy. It references a specific action ('draget') and subsequent concerns.,0.0,True
Så undviker du bråk ompengar med din partner,https://www.aftonbladet.se/minekonomi/a/Oowom1/5-tips-sa-undviker-du-brak-om-pengar-med-din-partner,ERROR,ERROR,[2025-10-17] Error occurred,0.0,True
Är viktiga siffran under200 – då ska du avstå,https://www.aftonbladet.se/minekonomi/bostad/a/3MW5lv/viktiga-siffran-nar-du-ska-kopa-bostadsratt,Business,Neutral,"[2025-10-17] The article, titled 'Warning Signs Before the Apartment Right Purchase,' likely discusses factors to consider before buying an apartment right. It appears to be a cautionary piece aimed at potential buyers.",0.0,True
Så får du loss pengar ur din villa – utan att sälja,https://www.aftonbladet.se/minekonomi/a/yEQm12/sa-far-du-loss-pengar-ur-villan-utan-att-salja,Business,Neutral,"[2025-10-17] The article, dated 2025-10-17, discusses alternative housing options for those wishing to remain in a specific location (likely a region or city). It appears to be a local business or real estate-focused piece.",0.0,True
LISTA:Bristjobben med över 41 000 kronor i lön,https://www.aftonbladet.se/minekonomi/a/mPOaEp/bristjobben-dar-du-tjanar-over-41-000-kronor-i-manaden,Business,Neutral,"[2025-10-17] The article presents new statistics related to a need, likely within a business context. It references an entity called 'abplusHÃ¤r' and highlights where the need is most significant.",0.0,True
Undvik en arvstvist med superenkla justeringen,https://www.aftonbladet.se/minekonomi/a/mPApLE/slipp-en-arvstvist-med-superenkla-justeringen-i-testamentet,Culture,Neutral,"[2025-10-17] The article, titled 'abplusExpertens tips nÃ¤r du skriver testamente,' provides expert advice on writing a will. It appears to offer guidance on estate planning and legal documentation.",0.0,True
Röda siffror – här rasar bostadsrätterna i värde,https://www.aftonbladet.se/minekonomi/bostad/a/vg0MPp/sa-har-bostadsrattspriserna-utvecklats-i-din-kommun,Business,Negative,[2025-10-17] A report from abplusNy indicates a 25% decline over four years. This suggests a period of negative financial performance.,0.0,True
Tolka termerna rätt och bli en pensionsvinnare,https://www.aftonbladet.se/minekonomi/pension/a/XjPW2x/orden-om-pensionen-i-pensionsutskicken-sa-tolkar-du-termerna,Culture,Neutral,"[2025-10-17] The article's title references a menu, likely related to food or entertainment. More context would be needed to fully understand its content.",0.0,True
7 tips: Så boostar du din pension i sista minuten,https://www.aftonbladet.se/minekonomi/pension/a/25E5jr/sa-boostar-du-pensionen-i-sista-minuten,Business,Neutral,[2025-10-17] The article reports on a noticeable effect of something identified as 'abplusRUNDKVIST'. The context and nature of this effect are not provided.,0.0,True
LISTA:Här kan hyran höjas – med 94 procent,https://www.aftonbladet.se/minekonomi/bostad/a/gw5lok/lista-sa-dyrt-skulle-ditt-boende-bli-om-marknadshyror-infors,Business,Neutral,"[2025-10-17] This article, dated October 17, 2025, discusses the potential impact of market rents. The article's language is Swedish ('abplusSÃ¥ pÃ¥verkasduom marknadshyror infÃ¶rs').",0.0,True
DÅ får du ersättning om flygbolaget går i konkurs,https://www.aftonbladet.se/minekonomi/a/4BywzG/det-har-du-ratt-till-nar-flygbolaget-gar-i-konkurs,Unknown,Neutral,[2025-10-17] The article title and metadata indicate a checklist related to an unknown topic. Insufficient content is present to determine the subject or assess sentiment.,0.0,True
Economic Overview,,Overview,N/A,"The current economic situation appears mixed and uncertain. While there are positive signals like gold surpassing records and growth in AI-related businesses, several articles point to underlying vulnerabilities, including a billionaire's deteriorating financial situation, a 25% decline over four years reported by abplusNy, and warnings about potential threats to the global economy. There are also indications of instability with business closures, halted procurement processes, and the potential impact of market rents. Overall, the outlook seems precarious, and further developments require careful monitoring.",0.0,True
