Headline,Link,Model_Category,Sentiment,Model_Summary,Time (s),Classified
Varnar: Ryssland övar cyberkrig mot Sverige,https://www.svd.se/a/KMOGWo/varningen-fran-ukraina-ryssland-ovar-cyberkrig-mot-sverige,Technology,Negative,[2025-10-13] The head of Ukraine's state-owned company is struggling against sophisticated Russian hackers. The article highlights the ongoing cyber warfare efforts impacting Ukraine.,1.31,True
Skilj dig i London – tjäna miljarder,https://www.svd.se/a/xmG5qj/skilj-dig-i-london-varldens-huvudstad-for-skilsmassor,Business,Neutral,[2025-10-13] An article discusses how a city has become a primary destination for divorces among the wealthy. The article is authored by Katrine Kielos.,1.11,True
ATG fälls – ska betala tre miljoner,https://www.svd.se/a/W0Qyrg/atg-falls-ska-betala-tre-miljoner,Politics,Negative,"[2025-10-13] The headline translates to ""Violation of fundamental rules."" This suggests a serious political or legal infraction has occurred.",1.0,True
Historiskt miljardras för krypto,https://www.svd.se/a/vg4dGX/bitcoin-rasar-storsta-tvangslikvideringen-nagonsin,Business,Negative,"[2025-10-13] Bitcoin experienced a significant forced liquidation, marking the largest in its history. This event is reported in today's tech brief.",1.07,True
Trio får årets ekonomipris,https://www.svd.se/a/kwALXv/trio-delar-pa-ekonomipriset,Politics,Neutral,"[2025-10-13] The article reports reactions to an event, with one person expressing difficulty in finding words to describe it. The specific event is not detailed in the provided text.",1.16,True
Klarnas vd: AI-chock på arbetsmarknaden på väg,https://www.svd.se/a/Av6kQ5/klarnas-sebastian-siemiatkowski-ai-chock-vantar-arbetsmarknaden,Business,Negative,[2025-10-13] The article suggests traditional banks may face declining profits. This development could signal a shift in the financial landscape.,1.0,True
Regeringen pressar på för Östlig förbindelse,https://www.svd.se/a/0VMO4o/regeringen-pressar-pa-for-ostlig-forbindelse,Politics,Negative,"[2025-10-13] Sources indicate a potential announcement will be made on Monday. The situation is described as holding the subway 'hostage,' suggesting a crisis or significant disruption.",1.15,True
Han visselblåste – och sparkades från toppjobb,https://www.svd.se/a/KMOlm7/anders-munk-sparkade-av-alecta-stammer-pensionsjatten,Business,Negative,"[2025-10-13] Anders Munk is suing Alecta, a Swedish pension giant, for a significant amount of money. Alecta has condemned Munk's actions as disloyal.",1.24,True
Krig om ”Wokepedia” – Musk startar utmanare,https://www.svd.se/a/kw28oL/strid-om-wikipedia-elon-musk-startar-konkurrenten-grokipedia,Technology,Negative,"[2025-10-13] The Swedish online encyclopedia, Uppslagsverket, has been targeted by attacks in multiple locations. Users describe it as ""one of the last good places on the internet,"" highlighting the significance of the incident.",1.33,True
Second hand boomar – triggar mer konsumtion,https://www.svd.se/a/kw22wL/vinted-plick-och-vestiaire-boomar-inte-nodvandigtvis-mer-hallbart,Business,Neutral,"[2025-10-13] Researchers have identified a psychological factor that increases the willingness to purchase, particularly influencing spontaneous shopping habits. The study suggests it's easy for consumers to make unplanned purchases.",1.2,True
Efter rekordet – Saab spår fortsatt tillväxt,https://www.svd.se/a/25LPAq/saab-har-nu-vuxit-till-ett-av-sveriges-storsta-foretag,Business,Positive,"[2025-10-13] Sweden's defense company has grown into one of the country's largest businesses. The company has received a massive 150,000 job applications this year.",1.24,True
Efter börsraset – ”kan bli turbulenta dagar”,https://www.svd.se/a/zAdzO4/varnar-for-turbulens-pa-borsen-efter-trumps-tullhot,Business,Negative,[2025-10-13] Trump's new tariff threat caused stock markets to decline. Analysts suggest it may not be the sole factor driving the market's reaction.,1.12,True
”Världens dyraste svamp” såld,https://www.svd.se/a/lwpbdM/varldens-dyraste-svamp-sald-for-53000-kronor,Business,Neutral,[2025-10-13] A hotel has won the winning bid in an auction. The article details the amount the hotel was sold for.,1.02,True
"”Får bara frågan: har du mens, ja eller nej?”",https://www.svd.se/a/93y8Bd/estercare-och-femma-vill-stoppa-kvinnors-dolda-lidande,Sports,Neutral,[2025-10-13] The Swedish Women's Hockey League (SDHL) is implementing AI-powered tools for player health monitoring. This marks a shift away from traditional training methods based on male-centric models.,1.27,True
Så ser det ut på darknet,https://www.svd.se/a/B0oz99/svd-podd-tech-brief-sa-ser-det-ut-pa-darknet,Culture,Neutral,"[2025-10-13] The article title ""Och finns det ett mysigt hörn?"" translates to ""And is there a cozy corner?"". It appears to be a piece with a focus on atmosphere and comfort, likely related to lifestyle or interior design.",1.42,True
Därför överger unga sociala medier,https://www.svd.se/a/PpkPVJ/svd-podd-tech-brief-darfor-overger-unga-sociala-medier,Technology,Negative,"[2025-10-13] The article, titled ""How AI is Destroying Our Flows,"" discusses the negative impacts of artificial intelligence. It suggests AI is disrupting established processes or workflows.",1.16,True
”Jag blir dumsnål i det sammanhanget”,https://www.svd.se/a/JbkLBm/svd-podd-tech-brief-jag-ar-dumsnal-i-det-sammanhanget,Culture,Neutral,[2025-10-13] The article poses a question about the ethical implications of ordering food through the delivery service Foodora. It seems to be exploring consumer responsibility and the impact of such services.,1.2,True
Chockvändningen: ABB säljer robotar till Japan,https://www.svd.se/a/vg46zl/abb-saljer-rototics-till-japanska-softbank,Business,Positive,[2025-10-13] A major deal has been finalized after overnight negotiations. The deal's value significantly exceeds previous valuations.,0.99,True
Då skenar kostnaderna – ”inte den bild man får”,https://www.svd.se/a/kwAELB/darfor-skenar-kostnaderna-pa-de-stora-byggprojekten,Business,Negative,"[2025-10-13] Cost increases are not occurring during the construction phase, but are arising earlier in the process. This indicates potential issues and financial setbacks.",1.09,True
Bygget slukar miljarder: ”Är en bananrepublik”,https://www.svd.se/a/lwBbBe/kaoset-runt-vastlanken-forseningar-miljardrullning-och-offentliga-storbrak,Business,Negative,"[2025-10-13] Significant disruptions and public disturbances have occurred at the Västlänken project, involving delays and substantial costs. The situation has led to public uproar and raised concerns about the project's management.",1.29,True
Bitcoin slår nya rekord: ”Dollarn urholkas”,https://www.svd.se/a/pPo4xX/bitcoin-slar-nya-rekord-efter-politisk-turbulens,Politics,Neutral,"[2025-10-13] The article references political instability, printing presses, and the month of October, suggesting potential contributing factors to an unspecified event. The context implies a commentary on potential economic or political events.",1.24,True
Finansiell mardröm – ”går inte att hämta hem”,https://www.svd.se/a/0VML26/coco-carmens-nedstangning-en-finansiell-mardrom-gar-inte-att-hamta-hem,Business,Negative,[2025-10-13] Coco & Carmen is closing down due to increasingly difficult economic conditions. The company has struggled to maintain profitability.,1.01,True
"Är detta bara ett skådespel, alltihop?",https://www.svd.se/a/0VPeao/vanja-wikstroms-haveri-i-world-of-alidia-vacker-fragor-om-influencer-ekonomin,Business,Negative,[2025-10-13] A recent influencer scandal involving Vanja Wikström is raising concerns about the influencer economy as a whole. The incident is prompting questions about the industry's practices and stability.,1.21,True
USA kan vara ett steg från storkris,https://www.svd.se/a/63x0xo/usa-s-skuldberg-oroar-experter-skulle-kunna-utlosa-en-finanskris,Business,Negative,"[2025-10-13] Johan Carlström warns of a potential debt crisis, describing a factor as having the potential to become ""the mother of all debt crises."" The article suggests a concerning economic outlook.",1.24,True
Blågul noteringsyra – börsen ”hetast i Europa”,https://www.svd.se/a/3MW1M0/blagul-noteringsyra-stockholmsborsen-hetast-i-europa,Business,Positive,[2025-10-13] This article discusses the recent economic ups and downs experienced by Swedish savers. It highlights what makes Swedish savers unique.,1.03,True
IMF om ekonomin: ”Ta på säkerhetsbältet”,https://www.svd.se/a/8qrE9d/imf-chefen-kristalina-georgieva-om-varldsekonomin-ta-pa-sakerhetsbaltet,Business,Negative,"[2025-10-13] The article discusses pressure from Trump tariffs, distrust, and substantial debt, suggesting further challenges are on the horizon. It references the International Monetary Fund and indicates potential economic difficulties.",1.21,True
Byggen rensas bort när underhåll prioriteras,https://www.svd.se/a/KMd4j5/sa-blir-trafikverkets-infrastrukturplan-byggen-rensas-bort-underhall-prioriteras,Business,Neutral,[2025-10-13] The Swedish Transport Administration (Trafikverkets) plans to increase road maintenance by over 50% and railway maintenance by 20%. This indicates a significant investment in infrastructure upkeep.,1.29,True
”Guldpriset är ett tecken på att något är knas”,https://www.svd.se/a/1MmEGG/guldpriset-rusar-lage-att-salja-sina-smycken,Business,Neutral,"[2025-10-13] The article discusses a barrier being broken at $4,000, indicating busy activity at valuation desks. It appears to be reporting on financial market activity.",1.18,True
Duon tar över: Har levererat otroligt bra,https://www.svd.se/a/pP78Wj/daniel-ek-slutar-som-vd-i-spotify,Business,Neutral,[2025-10-13] Daniel Ek has stepped down as CEO of Spotify after 19 years. A successor will be appointed to take over the position.,1.08,True
Ek tystade tvivlarna – fick rätt till slut,https://www.svd.se/a/vg0Jxw/daniel-ek-slutar-som-vd-det-blir-hans-nasta-drag,Business,Neutral,[2025-10-13] This article discusses the future of a Swedish tech leader and their connection to Spotify. The details of what awaits them are reportedly becoming visible.,1.1,True
Akut elbrist hotar: ”Farliga scenarier”,https://www.svd.se/a/0VMpkJ/ingen-elreserv-i-vinter-stromavbrott-hotar,Politics,Negative,[2025-10-13] Sweden's opposition party (S) is blaming the government for potential disruptions to electricity supply due to severe winter weather. This indicates a political disagreement over responsibility for potential infrastructure issues.,1.24,True
Står de inför sitt ”Iphone-moment”?,https://www.svd.se/a/pPoKdw/open-ai-kan-sta-infor-sitt-iphone-moment,Business,Neutral,[2025-10-13] Swedish business leader Björn Jeffery claims OpenAI is adopting strategies reminiscent of Steve Jobs. This suggests OpenAI is facing strong competition and adapting its approach.,1.11,True
Economic Overview,,Overview,,"The current economic situation appears highly unstable and fraught with challenges. Multiple articles point to significant headwinds, including potential debt crises, the impact of Trump tariffs, distrust in financial systems, and rising costs impacting businesses like Coco & Carmen. Disruptions are widespread, ranging from cyberattacks and infrastructure project delays (Västlänken) to concerns about electricity supply and the future of the influencer economy. While a major deal exceeding previous valuations and increased infrastructure spending suggest some areas of activity, overall, the outlook appears to be deteriorating, with multiple sources warning of potentially severe economic difficulties on the horizon.",0.0,True
Chocksiffran: Kan försätta USA i svår kris,https://www.svd.se/a/OoG22A/trump-har-allt-storre-problem-pa-hemmaplan-svd-listar-tio-av-dem,STOPPED,STOPPED,[2025-10-16] Classification stopped,0.0,True
Jätteraset avslöjar kryptons sårbarhet,https://www.svd.se/a/RzJpwa/bitcoins-ras-avslojar-kryptons-sarbarhet,Business,Neutral,"[2025-10-16] The article discusses speculation about market movements, suggesting a potential influence on the stock market. It questions whether specific information led to increased market volatility.",0.0,True
Sågas på nytt: Rött kött pekas ut som boven,https://www.svd.se/a/ny37nJ/riksrevisionen-sagar-regeringens-klimatpolitik-saknas-styrmedel,Politics,Negative,"[2025-10-16] A report criticized the government's agricultural policy, stating it lacked effective management tools. The assessment suggests shortcomings in the current approach.",0.0,True
Ekonomipristagare: ”Vakna upp”,https://www.svd.se/a/yEkdge/nobel-ekonomipristagare-vakna-upp-europa,Technology,Neutral,"[2025-10-16] The article discusses a concern about Europe's lagging technological advancement. It refers to a daily technology briefing, suggesting a focus on current developments.",0.0,True
Experter: Oklart om han hade rätt att visselblåsa,https://www.svd.se/a/qP2d81/alectas-sparkade-toppchef-kan-ha-gjort-fel-enligt-experter,Politics,Neutral,"[2025-10-16] An investigation by Sparkade Alectafe's chief, Anders Munks, filed with Finansinspektionen (Swedish Financial Supervisory Authority) may lack legal grounds. This suggests a potential legal challenge or investigation is underway.",0.0,True
Varnar för nya regler: Bostadspriser kan stiga,https://www.svd.se/a/LM8BkJ/varnar-for-nya-bolaneregler-bostadspriserna-kan-stiga,Business,Negative,[2025-10-16] Changes to mortgage rules could lead to increased property price pressure. An analyst suggests the current assessment is flawed.,0.0,True
Vänder – sockrar budet: ”Kap utan dess like”,https://www.svd.se/a/o3jGAm/darfor-kovander-sebastian-siemiatkowski-om-klarna-affaren,Business,Neutral,"[2025-10-16] This article discusses Klarna's new strategy ahead of an upcoming event, following previous criticism. It's a business-related announcement with no explicitly positive or negative tone.",0.0,True
Snart får du bättre koll på arbetskamratens lön,https://www.svd.se/a/al5qJd/nya-eu-regler-till-sommaren-okar-insynen-i-kollegornas-loner,Politics,Neutral,[2025-10-16] New regulations in Sweden prohibit employers from asking about current salaries. This change is intended to address gender pay inequality.,0.0,True
Aktiverar krislag – tar kontroll över chipbolag,https://www.svd.se/a/lwpWn3/staten-tvingar-till-sig-agande-i-kinesiska-nexperia,Politics,Negative,"[2025-10-16] The article highlights a perceived risk to the European economic security, suggesting a potentially concerning situation.  It indicates the need for 'exceptional measures' to address this risk.",0.0,True
Ny miljardrullning för marinens ubåtar,https://www.svd.se/a/dRxBbj/marinens-nya-ubatar-blir-tio-miljarder-kronor-dyrare-an-vad-man-raknat-med,Business,Negative,"[2025-10-16] The article reports on delayed and over-budget projections for a previously funded project, causing concern and surprise.",0.0,True
Rally i Ericsson efter guldkantad rapport,https://www.svd.se/a/8qrAR1/ericsson-rusar-pa-borsen-ett-besked-ger-agarna-gladjefnatt,Business,Neutral,"[2025-10-16] This article discusses the reasons for a telecommunications company's stock price surge. The specific details of the surge are not provided, hence a neutral assessment.",0.0,True
Arbetslösheten fortsätter ned,https://www.svd.se/a/ny32va/arbetslosheten-fortsatter-ned-ljusning-for-unga,Business,Neutral,"[2025-10-16] The article discusses the economic vulnerability of young people, referring to them as 'cyclically sensitive.' It highlights a common economic concern related to youth employment and economic fluctuations.",0.0,True
Flygstrejk i Bryssel – inställda avgångar,https://www.svd.se/a/JbVyG7/stor-flygstrejk-i-bryssel-installda-avgangar,Politics,Negative,[2025-10-16] Sweden's airlines have been suspended to save 10 billion kronor. This decision reflects a significant economic intervention and has negative consequences for the aviation industry.,0.0,True
Sverige inför domstol – ”tidsfrist har löpt ut”,https://www.svd.se/a/JbVlMX/sverige-infor-domstol-for-langsam-omstallning,Politics,Negative,"[2025-10-16] A key promise made by Ebba Busch is facing threats from the EU, potentially leading to fines. This raises concerns about the implementation of the policy.",0.0,True
”Trendbrott” – här ökar bostadspriserna igen,https://www.svd.se/a/wg7Omn/trendbrott-har-okar-bostadspriserna-igen,Business,Positive,"[2025-10-16] The real estate market is showing signs of optimism, according to a broker. However, prices have decreased in some cities.",0.0,True
Kinas drag ”mardröm” – kan agera mer offensivt,https://www.svd.se/a/W0QAgQ/usa-och-kina-i-handelskrig-sallsynta-jordartsmetaller-stoppas,Politics,Negative,[2025-10-16] The Western defense industry faces potential significant damage if China's actions materialize. This suggests a concerning geopolitical risk.,0.0,True
Bostadsägare kan andas ut: ”Ett trendbrott”,https://www.svd.se/a/KMO91M/bostadsagare-kan-andas-ut-optimism-pa-marknaden,Business,Neutral,"[2025-10-16] The article reports a declining belief in falling prices, specifically highlighting Stockholm. This suggests a trend related to economic perceptions and potentially inflation.",0.0,True
Norge gör rekordstort uttag ur oljefonden,https://www.svd.se/a/al59ra/norge-gor-rekordstort-uttag-ur-oljefonden-550-mijarder-stottar-nasta-ars-budget,Business,Neutral,[2025-10-16] Sweden's budget for 2026 is projected to be 550 billion kronor.  This announcement indicates a substantial government spending plan.,0.0,True
Inifrån Open AI – så ska de tjäna pengar,https://www.svd.se/a/73E8RV/open-ai-gor-storforlust-hoppas-pa-video-shopping-och-annonser,Technology,Neutral,"[2025-10-16] This article provides a daily tech brief focused on video, shopping, and advertising content. It's a general update on trends within the technology sector.",0.0,True
Vad håller Klarna-Sebastian på med?,https://www.svd.se/a/5EPaLO/svd-podd-tech-brief-vad-haller-klarna-sebastian-pa-med,Culture,Neutral,"[2025-10-16] This article explores the reasons behind public anger, posing a question about the underlying causes of frustration and resentment among people.",0.0,True
Vilken svensk tech-vd är jobbigast?,https://www.svd.se/a/zAv5Pb/svd-podd-tech-brief-vilken-svensk-tech-vd-ar-jobbigast,Culture,Neutral,"[2025-10-16] This article is in Swedish and translates to 'Who doesn't want to be in a photo?'. It's a simple, open-ended question with no specific news value.",0.0,True
Erotik ska komma till Chat GPT,https://www.svd.se/a/KMO4gG/oppnar-for-erotik-pa-chat-gpt,Technology,Neutral,"[2025-10-16] OpenAI announced a ""mature version"" of its technology. The company stated a restriction against developing ""sex robots"".",0.0,True
Economic Overview,,Overview,N/A,"The current economic picture in Sweden, and likely Europe, appears to be characterized by uncertainty and potential instability. While there are signs of optimism in the real estate market and a tech-driven stock surge, concerns persist regarding government policy effectiveness (particularly in agriculture and related regulations), heightened geopolitical risks, and delayed project spending. Unemployment remains a key vulnerability, as highlighted by the economic sensitivity of young people. Despite a substantial government spending plan, ongoing challenges – including potential EU fines and a need for ‘exceptional measures’ – suggest the economy is likely to remain in a state of flux rather than experiencing sustained growth, and unemployment trends are concerning.",0.0,True
