Headline,Link,Model_Category,Sentiment,Model_Summary,Time (s),Classified
No headline,https://www.di.se/nyheter/ekonomer-vander-om-usa-motsagelsefull-bild-i-rapport/,Business,Neutral,[2025-10-13] A report indicates slow job growth despite an expanding economy. Key points from the report are being highlighted.,1.24,True
Miljardären om köpen i bjässarna: ”Levererar alltid”,https://www.di.se/nyheter/miljardaren-om-kopen-i-borsbjassarna-alltid-en-bra-affar/,Business,Neutral,[2025-10-13] The article discusses a portfolio investment in a Wallenberg company. It highlights a potential opportunity related to the company's operations.,1.08,True
Experten: Fem faktorer talar för fortsatt börsrally,https://www.di.se/nyheter/experten-fem-faktorer-talar-for-fortsatt-borsrally/,Business,Neutral,[2025-10-13] The article discusses why the Buffett indicator isn't currently working and explores methods for identifying the next market peak. It provides an analysis of market indicators and potential future trends.,1.2,True
Trio tilldelas Ekonomipriset för kreativ förstörelse,https://www.di.se/nyheter/trio-tilldelas-ekonomipriset-2025/,Culture,Positive,"[2025-10-13] The article, dated October 13, 2025, appears to celebrate Swedish innovation. It likely highlights achievements or events related to creativity and progress in Sweden.",1.23,True
Analys.Då blir det åka av på börsen,https://www.di.se/analys/da-blir-det-aka-av-pa-borsen/,Business,Neutral,[2025-10-13] The article discusses four key themes influencing stock market sentiment during the reporting period. It appears to be an analysis of market trends and factors affecting investor mood.,1.15,True
Blankarrusch inför rapporterna – ”kan bli stora kursfall”,https://www.di.se/nyheter/blankarrusch-infor-rapporterna-kan-bli-stora-kursfall/,Business,Negative,[2025-10-13] The article discusses potential significant stock market drops (kursfall) following reports. It suggests a period of uncertainty and negative reactions in the financial markets.,1.13,True
Intellego rekylerar upp efter svar till blankarrapport,https://www.di.se/live/rekordblankat-intellego-rekylerar-upp-efter-svar-till-blankarrapport/,Business,Negative,[2025-10-13] A record number of companies listed on the First North stock exchange are experiencing high short interest. This indicates a negative outlook and potential financial concerns among investors.,1.15,True
Bianca Ingrosso och Lovisa Worge lanserar klockor,https://www.di.se/digital/bianca-ingrosso-och-lovisa-worge-lanserar-klockor-satsat-mycket/,Business,Neutral,[2025-10-13] Influerarduon hopes that watches will become a new source of revenue. This indicates a potential shift in their business strategy.,1.06,True
Bolaget bakom AI-telefonister skalar upp,https://www.di.se/digital/bolaget-bakom-ai-telefonister-skalar-upp/,Technology,Neutral,"[2025-10-13] The article, titled ""People will again choose the phone,"" suggests a renewed focus or preference for mobile phones. The meaning is somewhat unclear without further context.",1.16,True
Tidigare vd: Apple möter sin tuffaste rival på årtionden,https://www.di.se/digital/tidigare-vd-apple-moter-sin-tuffaste-rival-pa-artionden/,Technology,Neutral,[2025-10-13] The designer of the iPhone is now working with a major AI company. This collaboration signals a potential intersection of mobile design and artificial intelligence.,1.1,True
